Chamber_Name,Cluster_Size_Mean_Value,Residuals_Mean_Value,Average_Strip_Efficiency,Expected_Occupancy,Fiducial_Cut_Efficiency,RPC_Occupancy_from_DT,RPC_Occupancy,Total_Efficiency
W-2_RB1in_S01_Backward,1.8051693439,0.317797333,87.9674224854,12522.0,91.5097808838,11240.0,143495.0,89.7620239258
W-2_RB1in_S01_Forward,1.8006705046,0.3443561494,87.1440811157,14758.0,90.4865875244,13170.0,176158.0,89.239730835
W-2_RB1out_S01_Backward,1.7171682119,-0.0744213238,89.465675354,12850.0,92.1446380615,11530.0,88222.0,89.7276306152
W-2_RB1out_S01_Forward,1.91743505,-0.0127792219,92.4902648926,15470.0,94.6652908325,14418.0,105897.0,93.1997451782
W-2_RB2in_S01_Backward,1.6802953482,0.5543402433,90.0820846558,12078.0,93.7222213745,11128.0,81439.0,92.1344604492
W-2_RB2in_S01_Forward,1.9706532955,0.2518252432,92.7471160889,14678.0,94.6360168457,13764.0,112944.0,93.7729949951
W-2_RB2out_S01_Middle,1.7809976339,-0.0884430557,93.1576766968,9096.0,95.2353973389,8466.0,60565.0,93.0738830566
W-2_RB2out_S01_Backward,1.7613941431,-0.0535613485,92.1566925049,7348.0,94.8016433716,6732.0,41530.0,91.6167678833
W-2_RB2out_S01_Forward,1.9810041189,-0.1448885053,93.3309936523,9514.0,95.4924468994,8914.0,62339.0,93.6935043335
W-2_RB3-_S01_Backward,1.6592592001,0.4077856839,91.6665039062,2678.0,93.5053405762,2444.0,18963.0,91.2621383667
W-2_RB3-_S01_Forward,1.7315753698,0.5013820529,93.1635055542,3160.0,95.7557678223,2970.0,20913.0,93.9873428345
W-2_RB3+_S01_Backward,1.6289473772,0.5197802186,92.6308517456,4128.0,94.4475326538,3826.0,25947.0,92.6841049194
W-2_RB3+_S01_Forward,1.6998231411,0.5425058603,95.3436584473,4764.0,95.9143981934,4544.0,26871.0,95.3820343018
W-2_RB4-_S01_Backward,1.5560641289,-0.2683528364,91.8071899414,1876.0,94.195892334,1754.0,24600.0,93.4967956543
W-2_RB4-_S01_Forward,1.8277717829,-0.2053275853,93.1702804565,1970.0,95.1080780029,1862.0,25078.0,94.5177688599
W-2_RB4+_S01_Backward,1.5226438046,0.2743936181,89.7309112549,1810.0,93.3333358765,1640.0,20822.0,90.6077346802
W-2_RB4+_S01_Forward,1.8227847815,0.1897141188,94.211479187,2024.0,95.5503540039,1908.0,23141.0,94.2687759399
W-2_RB1in_S02_Backward,1.8540736437,0.3193715513,89.0398178101,34130.0,91.7381591797,30486.0,195686.0,89.3231735229
W-2_RB1in_S02_Forward,1.9444385767,0.0807727277,93.228012085,40794.0,94.2198486328,38178.0,253982.0,93.5872879028
W-2_RB1out_S02_Backward,1.9132438898,-0.5840647817,93.4609680176,30648.0,94.7506942749,28710.0,207788.0,93.6765823364
W-2_RB1out_S02_Forward,2.175173521,-0.3782593012,94.0227127075,41296.0,96.9418792725,39302.0,262532.0,95.1714477539
W-2_RB2in_S02_Backward,1.6286621094,0.612723887,94.059715271,23436.0,95.4372253418,22088.0,122369.0,94.2481613159
W-2_RB2in_S02_Forward,1.5976378918,0.4286521673,92.5929946899,23908.0,93.3117828369,22246.0,121805.0,93.0483551025
W-2_RB2out_S02_Middle,2.0971002579,-0.7816287279,93.7161407471,14950.0,93.7425613403,13926.0,171587.0,93.1505050659
W-2_RB2out_S02_Backward,1.9532563686,-0.8220477104,96.7768478394,14614.0,97.9170074463,14138.0,91092.0,96.7428512573
W-2_RB2out_S02_Forward,2.0010778904,-0.5624921918,94.8964614868,17772.0,97.3377456665,16894.0,109652.0,95.0596466064
W-2_RB3-_S02_Backward,1.4186111689,0.4783567786,90.0531616211,8048.0,91.7425613403,7218.0,34190.0,89.6868743896
W-2_RB3-_S02_Forward,1.4925372601,0.6581292748,90.4066619873,7310.0,91.5357437134,6602.0,29019.0,90.3146362305
W-2_RB3+_S02_Backward,1.4161183834,0.1785409451,87.4679412842,12456.0,89.8021316528,10986.0,51187.0,88.1984558105
W-2_RB3+_S02_Forward,1.4857900143,0.1289457828,92.9807357788,11306.0,94.6995697021,10610.0,49831.0,93.8439788818
W-2_RB4-_S02_Backward,1.5131707191,0.447806716,90.6471862793,2310.0,92.0202026367,2074.0,63334.0,89.7835464478
W-2_RB4-_S02_Forward,1.5041322708,0.3649621904,88.619140625,2570.0,92.1173248291,2248.0,68710.0,87.4708175659
W-2_RB4+_S02_Backward,1.4029158354,0.3906155229,91.7903747559,6618.0,92.7108612061,6078.0,79403.0,91.8404312134
W-2_RB4+_S02_Forward,1.6580665112,0.2907516956,90.1342163086,7210.0,91.4431686401,6520.0,90526.0,90.4299545288
W-2_RB1in_S03_Backward,1.6619619131,-0.1434395611,90.6245269775,137810.0,92.8207778931,125716.0,581868.0,91.2241516113
W-2_RB1in_S03_Forward,1.7841689587,-0.3169063926,90.7632293701,199590.0,92.3581848145,183204.0,648900.0,91.7901687622
W-2_RB1out_S03_Backward,1.632963419,0.1074575335,92.4893951416,126650.0,93.092086792,117308.0,453179.0,92.6237640381
W-2_RB1out_S03_Forward,1.8307996988,0.0730340779,91.7171325684,200676.0,95.3071899414,185978.0,564547.0,92.6757583618
W-2_RB2in_S03_Backward,1.7718093395,-0.0928345174,93.9462890625,113584.0,96.0813674927,107632.0,485022.0,94.7598266602
W-2_RB2in_S03_Forward,1.7629404068,-0.0036836416,86.8101348877,151824.0,86.3289642334,131024.0,608193.0,86.2999267578
W-2_RB2out_S03_Middle,1.8925068378,-0.015849987,95.0163879395,84948.0,96.4439926147,81110.0,431975.0,95.4819412231
W-2_RB2out_S03_Backward,1.5271492004,0.0632971302,92.6082458496,68350.0,93.3698883057,63424.0,238716.0,92.7929763794
W-2_RB2out_S03_Forward,1.7692364454,-0.1370486915,95.1052703857,113472.0,96.3496780396,108542.0,399156.0,95.6553192139
W-2_RB3-_S03_Backward,1.4667483568,0.066570282,90.7304382324,46852.0,93.7740707397,42626.0,156177.0,90.9801101685
W-2_RB3-_S03_Forward,1.4306925535,0.1089704558,91.9621734619,46298.0,94.4333953857,42776.0,169127.0,92.3927612305
W-2_RB3+_S03_Backward,0.0,0.0,0.0,80370.0,0.0,0.0,23.0,0.0
W-2_RB3+_S03_Forward,0.0,0.0,0.0,104352.0,0.0,0.0,58.0,0.0
W-2_RB4-_S03_Backward,1.6454976797,0.6159129739,90.9288406372,6970.0,93.3194885254,6366.0,341305.0,91.3342895508
W-2_RB4-_S03_Forward,1.6904761791,0.399538219,78.8861541748,9882.0,78.1530456543,7768.0,133867.0,78.6075744629
W-2_RB4+_S03_Backward,1.4867789745,0.0870520845,92.5494766235,42090.0,93.5626525879,39018.0,371272.0,92.7013549805
W-2_RB4+_S03_Forward,1.6038768291,-0.1379882693,91.7935714722,53302.0,93.0332107544,49206.0,358284.0,92.3154830933
W-2_RB1in_S04_Backward,1.5232204199,-0.0967772007,86.4917678833,187632.0,89.0976867676,163636.0,413810.0,87.2111358643
W-2_RB1in_S04_Forward,1.6155667305,-0.0659124032,87.1404800415,251380.0,87.8770370483,220276.0,589560.0,87.626701355
W-2_RB1out_S04_Backward,1.91918993,0.1282160431,77.79662323,176262.0,81.952255249,144112.0,589137.0,81.7601089478
W-2_RB1out_S04_Forward,1.7392656803,0.205289498,90.46484375,257452.0,91.6315612793,233016.0,780838.0,90.5085220337
W-2_RB2in_S04_Backward,1.5176497698,-0.0943848863,89.5403900146,228226.0,91.6751785278,205200.0,580563.0,89.9108734131
W-2_RB2in_S04_Forward,1.5887246132,-0.1128978133,91.3790664673,302184.0,91.9903564453,277108.0,788946.0,91.7017440796
W-2_RB2out_S04_Middle,1.4171255827,0.121759966,79.5784301758,176882.0,79.1647338867,140788.0,419241.0,79.5943069458
W-2_RB2out_S04_Backward,1.5656750202,0.1551199704,88.4482116699,132214.0,88.5751419067,116384.0,345096.0,88.0269851685
W-2_RB2out_S04_Forward,1.6827220917,0.0453662463,95.6823501587,220734.0,96.7360534668,211612.0,548091.0,95.8674240112
W-2_RB3-_S04_Backward,1.489376545,-0.1022695452,93.4037246704,134394.0,95.5797042847,126098.0,306410.0,93.8271026611
